bronze:(205.0, 127.0, 50.0)|(164.64303588867188, 134.74400329589844, 103.57809448242188)
buff:(240.0, 220.0, 130.0)|(160.5879364013672, 131.41969299316406, 101.02528381347656)
cerulean:(0.0, 123.0, 167.0)|(169.18682861328125, 138.4818878173828, 106.44341278076172)
champagne:(247.0, 231.0, 206.0)|(136.99830627441406, 112.0431137084961, 86.16056823730469)
charcoal:(70.0, 70.0, 70.0)|(144.906494140625, 118.54132843017578, 91.14472961425781)
chestnut:(205.0, 92.0, 92.0)|(171.7072296142578, 140.55401611328125, 108.03231811523438)
cinnamon:(210.0, 105.0, 30.0)|(188.50852966308594, 154.34657287597656, 118.61640930175781)
copper:(184.0, 115.0, 51.0)|(166.0829315185547, 135.93113708496094, 104.48707580566406)
corn:(251.0, 236.0, 93.0)|(178.56239318847656, 146.17770385742188, 112.34931945800781)
cream:(255.0, 253.0, 208.0)|(152.84043884277344, 125.05596160888672, 96.14332580566406)
flax:(238.0, 220.0, 130.0)|(204.7417755126953, 167.6776123046875, 128.84446716308594)
grey:(128.0, 128.0, 128.0)|(150.7190399169922, 123.31390380859375, 94.80673217773438)
hazel:(165.0, 42.0, 42.0)|(159.45376586914062, 130.48907470703125, 100.31098175048828)
heaven:(180.0, 176.0, 236.0)|(158.6079864501953, 129.78562927246094, 99.77474212646484)
juniper:(100.0, 217.0, 30.0)|(173.69859313964844, 142.18748474121094, 109.28630828857422)
lemon:(253.0, 233.0, 16.0)|(188.98826599121094, 154.74061584472656, 118.91870880126953)
lilac:(200.0, 162.0, 200.0)|(164.81503295898438, 134.89248657226562, 103.68917846679688)
magnolia:(248.0, 244.0, 255.0)|(138.03610229492188, 112.90430450439453, 86.81781005859375)
mauve:(224.0, 176.0, 255.0)|(157.404052734375, 128.80645751953125, 99.01976013183594)
mustard:(255.0, 219.0, 88.0)|(138.79949951171875, 113.52620697021484, 87.29692840576172)
myrtle:(33.0, 66.0, 30.0)|(158.08822631835938, 129.36849975585938, 99.4509048461914)
ogre:(98.0, 43.0, 45.0)|(155.2183380126953, 127.01136016845703, 97.6425552368164)
paper:(194.0, 178.0, 128.0)|(142.26890563964844, 116.37315368652344, 89.48206329345703)
pear:(209.0, 226.0, 49.0)|(227.729248046875, 186.54922485351562, 143.3258514404297)
persimmon:(236.0, 88.0, 0.0)|(225.91917419433594, 185.06497192382812, 142.18621826171875)
plum:(204.0, 153.0, 204.0)|(164.5224609375, 134.65020751953125, 103.50408172607422)
ripple:(69.0, 62.0, 49.0)|(154.9851837158203, 126.8189926147461, 97.49531555175781)
rose:(255.0, 0.0, 127.0)|(154.58526611328125, 126.48591613769531, 97.24159240722656)
ruby:(224.0, 17.0, 95.0)|(163.35714721679688, 133.69384765625, 102.77009582519531)
russet:(128.0, 70.0, 27.0)|(162.44451904296875, 132.94332885742188, 102.19467163085938)
rust:(183.0, 65.0, 14.0)|(160.7957305908203, 131.59024047851562, 101.15618133544922)
salmon:(255.0, 140.0, 105.0)|(147.6888427734375, 120.82666015625, 92.89795684814453)
sap:(92.0, 207.0, 112.0)|(168.3120880126953, 137.7650909423828, 105.89286041259766)
sage:(143.0, 188.0, 139.0)|(166.5918426513672, 136.35137939453125, 104.80860137939453)
sapphire:(8.0, 37.0, 103.0)|(155.9300537109375, 127.59538269042969, 98.09081268310547)
scarlet:(255.0, 36.0, 0.0)|(232.21327209472656, 190.22262573242188, 146.14772033691406)
tan:(210.0, 180.0, 140.0)|(165.93162536621094, 135.80821228027344, 104.39225006103516)
thistle:(216.0, 191.0, 216.0)|(145.3990936279297, 118.94613647460938, 91.4552001953125)
violet:(139.0, 0.0, 255.0)|(159.74061584472656, 130.7244415283203, 100.49163818359375)
wheat:(245.0, 222.0, 179.0)|(206.5325164794922, 169.14785766601562, 129.97262573242188)
