blue-planet$(149.60084533691406, 137.46099853515625, 125.9602279663086)
1$(150.1136932373047, 137.93370056152344, 126.4034194946289)
2$(151.33270263671875, 138.9139862060547, 127.40752410888672)
A$(150.6091766357422, 138.66831970214844, 126.75262451171875)
Z$(149.3707275390625, 137.1240692138672, 125.87001037597656)
dramatic$(150.53317260742188, 138.00390625, 126.72160339355469)
methematical$(149.8790740966797, 137.68112182617188, 126.22471618652344)
elegant$(151.50186157226562, 138.92640686035156, 127.49969482421875)
noble$(149.8707733154297, 137.55162048339844, 126.13224029541016)
0range$(149.4921875, 137.2261962890625, 126.19071197509766)
b1ue$(151.5986328125, 138.91912841796875, 127.47068786621094)
catastrophic$(151.23744201660156, 138.8064422607422, 127.36238098144531)
hopeless$(152.15411376953125, 139.6938018798828, 128.015869140625)
blooming$(150.40982055664062, 138.0095672607422, 126.65281677246094)
BigBang$(149.7895050048828, 137.15335083007812, 126.02934265136719)
