apple$(150.73793029785156, 138.43019104003906, 127.18102264404297)
grape$(150.14453125, 137.72637939453125, 126.35735321044922)
strawberry$(149.9768524169922, 137.71115112304688, 126.17761993408203)
blueberry$(150.73397827148438, 138.22288513183594, 126.88457489013672)
mango$(151.14598083496094, 138.78724670410156, 127.28054809570312)
banana$(150.22677612304688, 138.17922973632812, 126.66915130615234)
watermelon$(149.18057250976562, 136.8016357421875, 125.58584594726562)
lemon$(149.6880340576172, 137.2212371826172, 125.6478271484375)
lime$(150.97727966308594, 138.2255096435547, 127.0860595703125)
peach$(150.33859252929688, 138.26199340820312, 126.78025817871094)
